SMILES
Cc1cccc(C)c1N(CC(=O)O)C(=O)CS(=O)(=O)O
CCOCN(C(=O)CS(=O)(=O)O)c1c(C)cccc1CC
CCOCN(C(=O)C(=O)O)c1c(C)cccc1CC
CCOCN(C(=O)C[S+]([O-])CC(=O)O)c1c(C)cccc1CC
CCc1cccc(CC)c1N(COC)C(=O)C(=O)O
CCc1cccc(CC)c1N(COC)C(=O)CS(=O)(=O)O
Cc1cccc(C)c1NC(=O)CS(=O)(=O)O
